questionnaire_type,participant_id,id,response_value,question
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,463,0.67,confidence
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,464,0.5,effort
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,465,0.33,engagement
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,462,0.33,overall_difficulty
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,369,0.0,ai_familiarity
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,370,0.0,ai_usage
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,367,0.0,content_familiarity
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,368,0.0,decision_experience
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,371,0.0,tech_comfort
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,351,0.33,confidence
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,352,0.5,effort
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,353,0.17,engagement
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,350,0.67,overall_difficulty
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,297,0.0,ai_familiarity
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,298,0.83,ai_usage
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,295,0.0,content_familiarity
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,296,0.33,decision_experience
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,299,0.0,tech_comfort
post,346fb2ca-9655-4a93-be9e-802336b1b52b,335,0.33,confidence
post,346fb2ca-9655-4a93-be9e-802336b1b52b,336,0.5,effort
post,346fb2ca-9655-4a93-be9e-802336b1b52b,337,0.17,engagement
post,346fb2ca-9655-4a93-be9e-802336b1b52b,334,0.33,overall_difficulty
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,322,0.17,ai_familiarity
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,323,0.0,ai_usage
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,320,0.0,content_familiarity
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,321,0.0,decision_experience
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,324,0.0,tech_comfort
post,416ced96-db46-4c29-95dc-864750c655dc,431,0.83,confidence
post,416ced96-db46-4c29-95dc-864750c655dc,432,0.33,effort
post,416ced96-db46-4c29-95dc-864750c655dc,433,0.5,engagement
post,416ced96-db46-4c29-95dc-864750c655dc,430,0.0,overall_difficulty
pre,416ced96-db46-4c29-95dc-864750c655dc,414,0.67,ai_familiarity
pre,416ced96-db46-4c29-95dc-864750c655dc,415,0.83,ai_usage
pre,416ced96-db46-4c29-95dc-864750c655dc,412,0.0,content_familiarity
pre,416ced96-db46-4c29-95dc-864750c655dc,413,0.33,decision_experience
pre,416ced96-db46-4c29-95dc-864750c655dc,416,0.33,tech_comfort
post,4d423645-09a6-47b6-9bfd-49399beee4c4,500,0.67,confidence
post,4d423645-09a6-47b6-9bfd-49399beee4c4,501,0.5,effort
post,4d423645-09a6-47b6-9bfd-49399beee4c4,502,0.17,engagement
post,4d423645-09a6-47b6-9bfd-49399beee4c4,499,0.33,overall_difficulty
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,487,0.0,ai_familiarity
