questionnaire_type,participant_id,id,response_value,question
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,463,3,confidence
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,464,4,effort
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,465,5,engagement
post,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,462,5,overall_difficulty
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,369,7,ai_familiarity
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,370,7,ai_usage
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,367,7,content_familiarity
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,368,7,decision_experience
pre,144da5ba-b2ef-4861-9e85-7577e9e4ee9a,371,7,tech_comfort
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,351,5,confidence
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,352,4,effort
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,353,6,engagement
post,2a6ffef2-45ce-453a-abaa-4929474caf5b,350,3,overall_difficulty
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,297,7,ai_familiarity
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,298,2,ai_usage
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,295,7,content_familiarity
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,296,5,decision_experience
pre,2a6ffef2-45ce-453a-abaa-4929474caf5b,299,7,tech_comfort
post,346fb2ca-9655-4a93-be9e-802336b1b52b,335,5,confidence
post,346fb2ca-9655-4a93-be9e-802336b1b52b,336,4,effort
post,346fb2ca-9655-4a93-be9e-802336b1b52b,337,6,engagement
post,346fb2ca-9655-4a93-be9e-802336b1b52b,334,5,overall_difficulty
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,322,6,ai_familiarity
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,323,7,ai_usage
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,320,7,content_familiarity
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,321,7,decision_experience
pre,346fb2ca-9655-4a93-be9e-802336b1b52b,324,7,tech_comfort
post,416ced96-db46-4c29-95dc-864750c655dc,431,2,confidence
post,416ced96-db46-4c29-95dc-864750c655dc,432,5,effort
post,416ced96-db46-4c29-95dc-864750c655dc,433,4,engagement
post,416ced96-db46-4c29-95dc-864750c655dc,430,7,overall_difficulty
pre,416ced96-db46-4c29-95dc-864750c655dc,414,3,ai_familiarity
pre,416ced96-db46-4c29-95dc-864750c655dc,415,2,ai_usage
pre,416ced96-db46-4c29-95dc-864750c655dc,412,7,content_familiarity
pre,416ced96-db46-4c29-95dc-864750c655dc,413,5,decision_experience
pre,416ced96-db46-4c29-95dc-864750c655dc,416,5,tech_comfort
post,4d423645-09a6-47b6-9bfd-49399beee4c4,500,3,confidence
post,4d423645-09a6-47b6-9bfd-49399beee4c4,501,4,effort
post,4d423645-09a6-47b6-9bfd-49399beee4c4,502,6,engagement
post,4d423645-09a6-47b6-9bfd-49399beee4c4,499,5,overall_difficulty
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,487,7,ai_familiarity
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,488,7,ai_usage
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,485,7,content_familiarity
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,486,7,decision_experience
pre,4d423645-09a6-47b6-9bfd-49399beee4c4,489,7,tech_comfort
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,347,3,confidence
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,348,5,effort
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,349,5,engagement
post,7bb2203d-a0bd-4030-87f9-10d78eb6f043,346,4,overall_difficulty
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,327,7,ai_familiarity
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,328,7,ai_usage
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,325,7,content_familiarity
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,326,4,decision_experience
pre,7bb2203d-a0bd-4030-87f9-10d78eb6f043,329,7,tech_comfort
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,467,5,confidence
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,468,3,effort
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,469,7,engagement
post,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,466,5,overall_difficulty
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,374,6,ai_familiarity
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,375,6,ai_usage
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,372,7,content_familiarity
pre,7bc35e9f-ebfa-45a9-8527-2f825cddecd0,373,6,decision_experience
